Time,Right_Fx,Right_Fy,Right_Fz,Right_Mx,Right_My,Right_Mz,Left_Fx,Left_Fy,Left_Fz,Left_Mx,Left_My,Left_Mz
4.22,-0,-0,-0,-0,-0,-0,-3.36956944655758,4.70320270209226,660.470385745308,-230.828726195634,147.540460237362,-3.05167928093739
4.23,-0,-0,-0,-0,-0,-0,-2.82447210165748,5.61419848451391,661.061304237586,-230.578886912151,147.766438710774,-3.12800910717819
4.24,-0,-0,-0,-0,-0,-0,-2.28771813457067,6.53282697834548,661.770087244935,-230.330723656545,148.033259220749,-3.19823020061607
4.25,-0,-0,-0,-0,-0,-0,-1.75692035831909,7.45519650363096,662.586352531979,-230.083001006876,148.341722484614,-3.26122689539396
4.26,-0,-0,-0,-0,-0,-0,-1.23166638505767,8.38315464367899,663.487775546099,-229.841746418916,148.68895738149,-3.31713147521896
4.27,-0,-0,-0,-0,-0,-0,-0.711511502160116,9.29787196164874,664.469882154761,-229.582846033123,149.074032216224,-3.36433724030971
4.28,-0,-0,-0,-0,-0,-0,-0.197564592729295,10.2014569864657,665.508207415753,-229.311388856934,149.491830518229,-3.40396875138445
4.29,-0,-0,-0,-0,-0,-0,0.30868970573186,11.0954490746865,666.578559498066,-229.031158112367,149.936598057813,-3.43743987979666
4.3,-0,-0,-0,-0,-0,-0,0.800378726928685,11.9719157131059,667.644305024016,-228.728037588543,150.395705575097,-3.46402355824279
4.31,-0,-0,-0,-0,-0,-0,1.29331817844355,12.8532526916351,668.730391170377,-228.451699160241,150.883355112403,-3.49259013861239
4.32,-0,-0,-0,-0,-0,-0,1.75851135780781,13.7003686895007,669.742196392826,-228.121704927511,151.360960684399,-3.5141942093976
4.33,-0,-0,-0,-0,-0,-0,2.20962380131365,14.547203965265,670.695905200466,-227.804075376432,151.838211622315,-3.53765231438028
4.34,-0,-0,-0,-0,-0,-0,2.63896468471884,15.388182625991,671.560345000296,-227.486755743543,152.301827099542,-3.56307405655539
4.35,0.0264552963413288,0.0267193069878712,0.169485343065216,-0.0198962443214622,0.0374429512250225,-0.0027970626720105,3.01067598726082,16.1815258031346,672.14982601652,-227.128945022954,152.698371383937,-3.58715019149575
4.36,0.533216164413365,0.524416746052088,3.25573875951164,-0.322082874249802,0.763876730071697,-0.0710399590830829,2.78530205694147,16.2516879252157,669.727231093108,-226.145960152862,152.258333110614,-3.52180941409661
4.37,1.90645026493772,1.67134010389987,10.9515769159335,-1.03127404022558,2.61621352859528,-0.222576237769077,1.54314710996745,15.2158027895747,662.620066455246,-224.12661447946,150.501095127524,-3.32717425879136
4.38,3.9218570031285,2.7230752698608,20.5904776344994,-1.87146475569796,4.98836885452261,-0.309116116532578,-0.411121608468189,13.9970992818923,653.497405760967,-221.593088904247,148.146002504854,-3.17221358288945
4.39,6.0635101237555,2.97578374180416,30.0083583137535,-2.60383945626725,7.3414525925276,-0.208409554964781,-2.51761113634543,13.588531363585,644.449983330033,-219.189467627948,145.78776965659,-3.21133477304701
4.4,8.16897286702305,3.17989427951923,39.8006411585519,-3.33080841048896,9.78928092201867,-0.105955637520155,-4.61770592358582,13.1664824936569,634.930839513669,-216.708357343915,143.316903049653,-3.25141986702322
4.41,9.97317300245841,2.97525303302854,48.3968795795662,-3.89803806040316,11.9483117373867,0.0602436071397891,-6.42232557108673,13.2688354990009,626.489949592992,-214.554900592417,141.154457294342,-3.3782406390305
4.42,11.281273110748,2.5231044594575,55.6855930419694,-4.33960090543884,13.7424908322752,0.247028414356081,-7.7414969198497,13.7001827717806,619.200809775631,-212.638677648254,139.371056446819,-3.53068225166611
4.43,12.1704295371777,1.99933497124293,61.8230118385524,-4.6993118769892,15.209883291818,0.423303720987432,-8.68344133751414,14.3912510530826,612.987297259492,-211.078964154212,137.904647816271,-3.71056323793571
